scheme,function,npoints,CFL,do-time,itavgtime,extime,writetime,L1,L2,LINF,L1_m,L2_m,LINF_m
upw,sgn,200,1.00, 4.80000000E-05, 1.20000000E-06, 1.45400000E-03, 1.30200000E-03, 7.28596169E-01, 4.62834903E-01, 4.00321994E-01, 5.62253730E-01, 4.62865393E-01, 4.49775570E-01
upw,sgn,6400,1.00, 5.20300000E-03, 4.32142857E-06, 4.26240000E-02, 3.69960000E-02, 5.67821059E-01, 3.53100686E-01, 3.01361677E-01, 3.25847341E-01, 2.18709934E-01, 1.86678384E-01
lax,sgn,200,0.10, 4.50000000E-04, 1.19680851E-06, 1.90500000E-03, 1.35200000E-03, 6.13275908E+01, 7.80106051E+00, 1.00000000E+00, 7.93275908E+01, 8.88012078E+00, 1.00000000E+00
lax,sgn,6400,0.10, 6.59830000E-02, 5.49858333E-06, 1.04928000E-01, 3.80540000E-02, 1.99834489E+03, 4.46976611E+01, 1.00000000E+00, 2.59834489E+03, 5.09694115E+01, 1.00000000E+00
lax,sgn,200,1.00, 4.80000000E-05, 1.20000000E-06, 1.49700000E-03, 1.32700000E-03, 6.16657957E+01, 7.83857380E+00, 1.00000000E+00, 7.96657957E+01, 8.91309369E+00, 1.00000000E+00
lax,sgn,6400,1.00, 5.96300000E-03, 4.95265781E-06, 4.33670000E-02, 3.70130000E-02, 1.99853647E+03, 4.47022115E+01, 1.00000000E+00, 2.59853647E+03, 5.09734020E+01, 1.00000000E+00
mcc,sgn,200,0.10, 5.05000000E-04, 1.34308511E-06, 2.02900000E-03, 1.40200000E-03, 1.89689005E+01, 4.07399911E+00, 1.00882388E+00, 8.99913071E+00, 2.70539387E+00, 1.01959835E+00
mcc,sgn,6400,0.10, 9.44280000E-02, 7.86900000E-06, 1.32541000E-01, 3.77270000E-02, 5.99718750E+02, 2.42126149E+01, 1.00000000E+00, 2.99859375E+02, 1.70392664E+01, 1.00000019E+00
mcc,sgn,200,1.00, 5.30000000E-05, 1.32500000E-06, 1.50000000E-03, 1.33900000E-03, 1.04106426E+19, 2.69692304E+18, 1.09536591E+18, 2.59285915E+09, 7.96802232E+08, 3.80335355E+08
mcc,sgn,6400,1.00, 9.49800000E-03, 7.88870432E-06, 4.68550000E-02, 3.69860000E-02,            NaN,            NaN,       Infinity,            NaN,            NaN,       Infinity
tow,sgn,200,0.10, 5.89000000E-04, 1.56648936E-06, 2.04600000E-03, 1.35200000E-03, 1.83438522E+01, 3.99572178E+00, 1.00160400E+00, 9.67273951E+00, 2.82599483E+00, 1.00482844E+00
tow,sgn,6400,0.10, 2.02327000E-01, 1.68605833E-05, 2.40133000E-01, 3.74130000E-02, 6.00093750E+02, 2.42203304E+01, 1.00000000E+00, 3.00046875E+02, 1.70447129E+01, 1.00000000E+00
tow,sgn,200,1.00, 1.43000000E-04, 3.57500000E-06, 3.54700000E-03, 3.18500000E-03, 5.67616934E+01, 1.44583590E+01, 6.23553064E+00, 1.04370732E+01, 3.37708989E+00, 1.83420681E+00
tow,sgn,6400,1.00, 2.04190000E-02, 1.69593023E-05, 5.86040000E-02, 3.78010000E-02, 8.62030413+148, 8.80786869+147, 1.27266902+147, 2.07609057E+74, 2.52294988E+73, 4.33561719E+72
upw,exp,200,0.10, 4.46000000E-04, 1.18617021E-06, 1.97600000E-03, 1.41100000E-03, 2.34139447E+00, 6.25963007E-01, 3.52534882E-01, 1.86487695E+00, 5.28576512E-01, 3.00888069E-01
upw,exp,6400,0.10, 5.16600000E-02, 4.30500000E-06, 9.15470000E-02, 3.92150000E-02, 9.95994533E+00, 6.06775034E-01, 6.76648321E-02, 5.34750906E+00, 3.31366159E-01, 3.75060482E-02
upw,exp,200,1.00, 4.70000000E-05, 1.17500000E-06, 1.53000000E-03, 1.36300000E-03, 2.72463885E-01, 9.63326912E-02, 6.09904942E-02, 1.46933894E-01, 5.22299301E-02, 3.27478190E-02
upw,exp,6400,1.00, 5.20200000E-03, 4.32059801E-06, 4.46510000E-02, 3.87550000E-02, 8.05147222E-03, 5.08750377E-04, 5.86688523E-05, 4.02591369E-03, 2.54393844E-04, 2.93363647E-05
lax,exp,200,0.10, 4.59000000E-04, 1.22074468E-06, 1.95000000E-03, 1.37600000E-03, 2.20448948E+00, 8.82839017E-01, 4.97167218E-01, 2.20448948E+00, 8.82839017E-01, 4.98031083E-01
lax,exp,6400,0.10, 5.90570000E-02, 4.92141667E-06, 9.84610000E-02, 3.87160000E-02, 7.08870762E+01, 5.00623273E+00, 4.99992368E-01, 7.08870762E+01, 5.00623273E+00, 4.99987102E-01
